"transcript_biotype" "entrezgene" "ensembl_gene_id" "ensembl_gene_id_version" "hgnc_symbol" "logFC" "AveExpr" "t" "P.Value" "adj.P.Val"
"CYP11A1" "protein_coding" 1583 "ENSG00000140459" "ENSG00000140459.17" "CYP11A1" 2.82829173439946 1.41268936666556 6.48365614803172 4.01154857521567e-10 4.6736289954393e-06
"ASPDH" "protein_coding" 554235 "ENSG00000204653" "ENSG00000204653.9" "ASPDH" 2.48424642238406 4.07958115612929 6.37478613979935 7.19684169300785e-10 4.6736289954393e-06
"RIPPLY1" "protein_coding" 92129 "ENSG00000147223" "ENSG00000147223.5" "RIPPLY1" 2.28303431124635 -0.256867081474487 5.88572805651187 9.22601150214015e-09 3.99424791299321e-05
"MOGAT2" "protein_coding" 80168 "ENSG00000166391" "ENSG00000166391.14" "MOGAT2" 2.75360591461112 2.72086761767816 5.72278699658538 2.09810726622138e-08 6.81255429342081e-05
"PFKFB1" "protein_coding" 5207 "ENSG00000158571" "ENSG00000158571.10" "PFKFB1" 1.96643810073929 2.89774271855924 5.65611380426049 2.92339211009163e-08 7.14974189143717e-05
"TM6SF2" "protein_coding" 53345 "ENSG00000213996" "ENSG00000213996.12" "TM6SF2" 1.64677801148177 3.08070652953173 5.63000907773822 3.32671297105572e-08 7.14974189143717e-05
"GFRA1" "protein_coding" 2674 "ENSG00000151892" "ENSG00000151892.14" "GFRA1" 2.75735913911344 3.23372910152646 5.58508887675275 4.15231591363556e-08 7.14974189143717e-05
"SLC25A47" "protein_coding" 283600 "ENSG00000140107" "ENSG00000140107.10" "SLC25A47" 3.36856410340917 3.84539758007427 5.57333446489355 4.40390630824587e-08 7.14974189143717e-05
"CCL16" "protein_coding" 6360 "ENSG00000275152" "ENSG00000275152.4" "CCL16" 2.46671418479833 4.96693838241207 5.52424635210861 5.59383888538238e-08 8.0725310492607e-05
"GYS2" "protein_coding" 2998 "ENSG00000111713" "ENSG00000111713.2" "GYS2" 2.5410898475265 3.47270923937302 5.49882136772265 6.33219755576453e-08 8.22425818542697e-05
"CFHR4" "protein_coding" 10877 "ENSG00000134365" "ENSG00000134365.12" "CFHR4" 2.432480640021 3.65998288510861 5.34941003630343 1.30179279828124e-07 0.000153706226037062
"GLYAT" "protein_coding" 10249 "ENSG00000149124" "ENSG00000149124.10" "GLYAT" 2.8132744094954 3.88067364652699 5.246644879575 2.12153036846175e-07 0.00022962030354651
